548617649010532353|Fri Dec 26 231335 +0000 2014|Ebola Exposure CDC Worker Remains Well http//nbcnewsto/1tmYMkv
548569476795731968|Fri Dec 26 200209 +0000 2014|Pregnant Woman Taken Off Life Support in Ireland http//nbcnewsto/1BcYvPG
548533428023738368|Fri Dec 26 173855 +0000 2014|Money from IceBucketChallenge still flowing to ALS Association where leaders remain awestruck by gush of goodwill http//owly/GseY3
548531135442337793|Fri Dec 26 172948 +0000 2014|Caramel Apples Recalled After Listeria Deaths http//nbcnewsto/1EqpPjj
548194819907284992|Thu Dec 25 191324 +0000 2014|Ice Bucket Challenge Still Rains Bucks on ALS http//nbcnewsto/1thdMAd
547900379254775808|Wed Dec 24 234324 +0000 2014|Following mistake and possible exposures at CDC Ebola lab health of involved staff to be monitored for 21 days http//owly/GpzmS
547881124211339264|Wed Dec 24 222653 +0000 2014|CDC Reports Possible Ebola Exposure at Containment Lab http//nbcnewsto/1CLABvX
547809354834259968|Wed Dec 24 174142 +0000 2014|Why StressFueled Indulgences Dont Bring Joy http//nbcnewsto/1vbYiYB
547755597844987904|Wed Dec 24 140805 +0000 2014|Delayed Concussions Common and Tricky http//nbcnewsto/1EdtTDx
547537442690318336|Tue Dec 23 234113 +0000 2014|Gay Groups Decry FDA Rule Requiring No Sex to Give Blood http//nbcnewsto/1zgmtY8
547470025150705664|Tue Dec 23 191320 +0000 2014|FDA Plans to Ease Ban on Blood Donations by Gay Men http//nbcnewsto/1CDgVKG
547462897438560256|Tue Dec 23 184500 +0000 2014|FDA Proposes Easing Ban on Blood Donations by Gay Men http//nbcnewsto/1zuy6Qa
547458559399956481|Tue Dec 23 182746 +0000 2014|Nearly 2 Million More People Choose ObamaCare http//nbcnewsto/13BkCEA
547438872817565696|Tue Dec 23 170932 +0000 2014|Beyond Narcan Why the LifeSaving Heroin Antidote Isnt a Cure http//nbcnewsto/16NjUWM
547398127050063872|Tue Dec 23 142738 +0000 2014|Joan Lunden I Can See the Finish Line in Cancer Battle http//nbcnewsto/1ztxbzv
547386664465993728|Tue Dec 23 134205 +0000 2014|Joan Lunden I Can See the Finish Line In Cancer Battle http//nbcnewsto/1ADCoE6
547333692944031744|Tue Dec 23 101136 +0000 2014|Deadly 2015 Can Ebolas Rampage in Africa Be Stopped http//nbcnewsto/1B17DXv
547235462629588994|Tue Dec 23 034116 +0000 2014|Boy With Rare Disease Donates His Toys to UCLA Hospital http//nbcnewsto/1B0cRTp
547092232000774144|Mon Dec 22 181207 +0000 2014|Secrets From Worlds Oldest Yoga Teacher I Dont Believe in Age http//nbcnewsto/1t22uzR
546977747047043072|Mon Dec 22 103711 +0000 2014|Obamacare by the Numbers What a Difference a Year Makes http//nbcnewsto/1znY0Fm
546831255921512449|Mon Dec 22 005505 +0000 2014|California Gets Worst Whooping Cough Outbreak in Decades http//nbcnewsto/1AMM1yo
546691908148690945|Sun Dec 21 154122 +0000 2014|Aging Tsunami As Crisis Grows a Search for Help http//nbcnewsto/1x90YgE
