304596701757464576|Thu Feb 21 142127 0000 2013|FastFood Makes Up 11 Percent of Calories in US Diet http//bitly/VymaIc
304595191329853441|Thu Feb 21 141527 0000 2013|10 snacks to help you lose weight burn fat and build muscle http//bitly/TeQPqk
304587659018371072|Thu Feb 21 134531 0000 2013|10 foods that boost your skin AND slim your waistline http//tribal/LDbxW6
304580073380524032|Thu Feb 21 131522 0000 2013|What a heart attack feels like in women (its different than in men) http//bitly/InrWrC GoRed
304572560270573569|Thu Feb 21 124531 0000 2013|McDonalds oatmeal has almost 7 teaspoons of sugar in it More healthy fast food that isnt http//bitly/GGM5bA
304564965866627072|Thu Feb 21 121521 0000 2013|10 foods that boost your skin AND slim your waistline http//tribal/4eRjME
304557384309829633|Thu Feb 21 114513 0000 2013|Skipping Kegels using talcum powder and more vaginal health mistakes youre probably making http//bitly/yWptJ7
304549845501362177|Thu Feb 21 111516 0000 2013|10 foods that boost your skin AND slim your waistline http//bitly/R7OpqA
304542290133794816|Thu Feb 21 104514 0000 2013|Todays to do for a happier you Perform a random act of kindness (itll make YOU feel better too) http//bitly/HxUJEn
304534747852447744|Thu Feb 21 101516 0000 2013|Depression isnt the same for everybody Here are 9 different faces of the disorder http//bitly/HXuSpU
304527193617362944|Thu Feb 21 094515 0000 2013|Why cutting out these unhealthy foods may actually make you a nicer person http//bitly/yTBw80
304519647649218560|Thu Feb 21 091516 0000 2013|The worst snacks for your health http//bitly/xbkHC0
304512073600233472|Thu Feb 21 084510 0000 2013|Why you should have sex today tomorrow the next day AND the day after that http//tribal/wMjJUG
304504561429774336|Thu Feb 21 081519 0000 2013|A jillianmichaels bootcamp for your chest http//bitly/YLPgnc
304496972419702784|Thu Feb 21 074510 0000 2013|How to exercise your way to better sex http//tribal/iLlHOR
304489454159134720|Thu Feb 21 071517 0000 2013|Overdid it yesterday on chocolate How to burn up to 500 calories in just 20 minutes http//bitly/wyXSKB
304481884744851457|Thu Feb 21 064512 0000 2013|9 weird things running does to your body http//bitly/HIMacH
304474338013351936|Thu Feb 21 061513 0000 2013|A His and Her Guide to Oral Stimulation Read share love http//bitly/Hb4f20
304466769370808320|Thu Feb 21 054509 0000 2013|Does muscle really burn more calories than fat That plus more answers to your burning fat questions http//tribal/YXvpJx
304459267153461248|Thu Feb 21 051520 0000 2013|Binge drinking is a problem among women and girls in the US according to a new report http//bitly/U4HEdQ
304451711098044418|Thu Feb 21 044519 0000 2013|Why we yawn  and why yawning is contagious http//tribal/NxtEcR
304436604745965568|Thu Feb 21 034517 0000 2013|Fiberrich foods to add to your diet ASAP http//bitly/T2lpU6
304432788004823040|Thu Feb 21 033007 0000 2013|The truth behind HIV myths http//bitly/YnEeSn sexualhealth
304429053245521920|Thu Feb 21 031516 0000 2013|Bored with your routine Try these fun fitness swaps to supercharge your routine http//tribal/Z0JjTe
304421495168450562|Thu Feb 21 024514 0000 2013|Want to lose weight Exercise harder not longer How to tell if youre working hard enough http//bitly/TngoWp
304413966157889536|Thu Feb 21 021519 0000 2013|The 6 worst times for his sex life http//bitly/zutyZW
304406423473905664|Thu Feb 21 014521 0000 2013|FastFood Tied to Asthma Eczema and Hay Fever in Kids http//bitly/UlfGut
304398865010946048|Thu Feb 21 011519 0000 2013|6 foods that can change your life http//bitly/yCNop5
304396358369030145|Thu Feb 21 010521 0000 2013|Everyday Health Daily Digest is out http//paperli/EverydayHealth/1340975022
304392006615052288|Thu Feb 21 004804 0000 2013|More than 1 in 3 US adults have prediabetes and the numbers are rising Learn how to eat to lower your risk http//bitly/155TOrX
304391285945548801|Thu Feb 21 004512 0000 2013|Could this flu season be the worst  ever http//bitly/Vnwmkm
304383792695627776|Thu Feb 21 001526 0000 2013|There really is something to that whole runners high 7 great exercise that can help fight depression http//bitly/xrJsuW
304380036943855616|Thu Feb 21 000030 0000 2013|Join us for a HealthTalk Thurs  1 pm ET to learn about autism Dr Lisa Shulman of EinsteinMed will answer ur Qs http//owly/hTS7J
304379942123229184|Thu Feb 21 000007 0000 2013|Stress is bad for your heart and mind 6 ways to kick it to the curb http//bitly/11t6Hy7 HeartHealthMonth
304376203148685312|Wed Feb 20 234516 0000 2013|Want killer abs JillianMichaels shows you how get them http//bitly/NNsFUd
304368655951618048|Wed Feb 20 231517 0000 2013|Alzheimers Vaccine Shows Promise http//bitly/10dj5kk
304361136046891009|Wed Feb 20 224524 0000 2013|Terrified of childbirth pain How the love hormone may help women http//bitly/VIs4TP
304358483027955713|Wed Feb 20 223451 0000 2013|Missed our hearthealth HealthTalk today w/ RMichlerMD montefioreNYC amp foundersheart Check out the recap here http//owly/hTS2e
304353602858782721|Wed Feb 20 221528 0000 2013|Feeling a little backed up Hit the gym More amazing benefits of exercise http//tribal/eD95Gw
304352880880648194|Wed Feb 20 221236 0000 2013|A new gadget developed at the Mayo Clinic prevents stomach acid from entering the esophagus http//bitly/15w0Uam
304349758342975488|Wed Feb 20 220011 0000 2013|To help prevent cancer be sure to mind your ABCs Here are the nutrients that are vital http//bitly/155GPGE
304346024166703104|Wed Feb 20 214521 0000 2013|Bikini Waxing Credited With Decline in PubicLice http//bitly/ZUrqV8
304338513783033856|Wed Feb 20 211530 0000 2013|Fake poop treats stomach bacteria http//bitly/UKV7Yh
304330933010575360|Wed Feb 20 204523 0000 2013|Have you seen the latest health tech gadgets for 2012 http//bitly/VQCBj8
304323403706421249|Wed Feb 20 201528 0000 2013|The healthiest cooking oils to use in the kitchen http//bitly/xjp08G
304316633311236098|Wed Feb 20 194833 0000 2013|ATTN Parents How much do you know about autism Join us for a HealthTalk tomorrow  1 pm ET to learn the facts http//owly/hTzaV
304315856832311296|Wed Feb 20 194528 0000 2013|Common Blood Pressure Med May Lower Risk of Dementia http//bitly/WJuTnE
304308307282251776|Wed Feb 20 191528 0000 2013|Whats the connection between marriage and health http//bitly/TXV908
304305650136133633|Wed Feb 20 190455 0000 2013|RT MontefioreNYC Thanks everyone for the questions special thanks to our hosts at EverydayHealth amp FoundersHeart  HealthTalk
304305621354815488|Wed Feb 20 190448 0000 2013|RT foundersheart EverydayHealth RMichlerMD MontefioreNYC Thanks to everyone who joined us and for having us HeartHealth HealthTalk
304305577524359169|Wed Feb 20 190438 0000 2013|RT RMichlerMD Happy Heart Month to everyone Prevention is key http//wwwmontefioreorg/heartmonth healthtalk
304304853956558848|Wed Feb 20 190145 0000 2013|RT RMichlerMD A10 StemCell therapy for treatment of HeartDisease is on the horizon healthtalk
304304685681090560|Wed Feb 20 190105 0000 2013|RT MontefioreNYC The future of heart treatment How StemCell research can improve the heart http//mmcnyorg/WDdbWv [VID] HealthTalk
304304617888571393|Wed Feb 20 190049 0000 2013|RT RMichlerMD A10 Better and less invasive treatments for those who have HeartDisease incld StemCells 1 focus needs to be on prevention healthtalk
304304583293927424|Wed Feb 20 190041 0000 2013|Looks like were out of time Thank you RMichlerMD montefioreNYC foundersheart amp everyone who participated healthtalk
304304220293718016|Wed Feb 20 185914 0000 2013|RT chistylish I want to know if taking red wine when on anti hypertensive medications is dangerous HealthTalk
304304002919706624|Wed Feb 20 185822 0000 2013|RT RMichlerMD A10 Important to increase awareness of HeartDisease the risk factors healthtalk
304303803774148610|Wed Feb 20 185735 0000 2013|RT MontefioreNYC Were a national leader in providing clinical best practices for all heartdisease pts http//wwwmontefioreorg/heartmonth HealthTalk
304303530645286912|Wed Feb 20 185630 0000 2013|RT TheHeartTruth A4 EverydayHealth people with high cholesterol have a greater chance of developing heart disease HealthTalk http//twittercom/TheHeartTruth/status/304303368908713984/photo/1
304303087663861760|Wed Feb 20 185444 0000 2013|Q10 Whats on the horizon in heart disease treatment HealthTalk
304303053887135745|Wed Feb 20 185436 0000 2013|RT tobaccofreefla EverydayHealth A8 Quit smoking to reduce the risk 1 year after quitting risk of heart attack can be cut in half HealthTalk
304302603309813760|Wed Feb 20 185248 0000 2013|RT AshleyLizWelch Check out these 10 fast (and fun) Heart facts from everydayhealth http//bitly/YGA5JV HealthTalk
304302567595339776|Wed Feb 20 185240 0000 2013|RT TheHeartTruth A8 EverydayHealth decreasing heart disease risk starts with managing risk factors http//owlli/hTrms HealthTalk
304302221233897472|Wed Feb 20 185117 0000 2013|Q9 Does anyone have questions for our expert Ask now HealthTalk
