220146274970763264|Tue Jul 03 132536 0000 2012|Heavy Coffee Intake May Affect Fertility Treatments Study  http//onmsncom/P5E3ge
220146274236760065|Tue Jul 03 132536 0000 2012|Summer Is Peak Time for Teens to Try Drugs Alcohol Report  http//onmsncom/O01Nw2
220146273444040704|Tue Jul 03 132536 0000 2012|Some CrashAvoidance Systems May Work Better Than Others  http//onmsncom/O01O3l
220146272638734336|Tue Jul 03 132536 0000 2012|More Genes Linked to Osteoarthritis Identified  http//onmsncom/O01NfM
219891972108845056|Mon Jul 02 203506 0000 2012|No Health Risk When Jehovahs Witnesses Refuse Blood Study  http//onmsncom/NXt7v8
219891971337093121|Mon Jul 02 203506 0000 2012|Dangerous Rage May Be Common Among US Teens  http//onmsncom/NXt7v4
219891970577940480|Mon Jul 02 203505 0000 2012|Botox May Ease Tremors in Multiple Sclerosis Patients  http//onmsncom/NXt8z1
219891969600663552|Mon Jul 02 203505 0000 2012|More Than 1 in 4 Teens Have Sexted Study  http//onmsncom/NXt8yZ
219891968665321472|Mon Jul 02 203505 0000 2012|Medicare Coverage Gap May Cause Seniors to Forgo Antidepressants  http//onmsncom/P1D3tz
219860173878071296|Mon Jul 02 182844 0000 2012|Gel Shows Promise as Future Male Contraceptive  http//onmsncom/NeSut8
219860172980502528|Mon Jul 02 182844 0000 2012|Its Not So Much the Heat Its the Lack of Power  http//onmsncom/NeSut6
219860171202113536|Mon Jul 02 182844 0000 2012|5 Million Test Tube Babies Born to Date  http//onmsncom/NeSut2
219852298032123904|Mon Jul 02 175727 0000 2012|Poor Sleep Affects Immune System Much Like Physical Stress  http//onmsncom/OdGOcK
219788452168859648|Mon Jul 02 134345 0000 2012|Chronic Pain May Depend on Emotional Reaction to Injury  http//onmsncom/OZdyZL
219788451367759872|Mon Jul 02 134344 0000 2012|Coffee May Cut Your Risk for Common Form of Skin Cancer  http//onmsncom/NVX26I
219788450549870592|Mon Jul 02 134344 0000 2012|Kids Born Even a Little Early Have Lower School Scores Study  http//onmsncom/OZdyJv
219788449790697473|Mon Jul 02 134344 0000 2012|Spanking Batters Kids Mental Health Study  http//onmsncom/OZdB81
219788449102827521|Mon Jul 02 134344 0000 2012|Virtual Colonoscopy Safe Effective for Medicare Patients Study  http//onmsncom/OZdyJr
219421670941794304|Sun Jul 01 132617 0000 2012|Maintain Heart Health During Summer  http//onmsncom/MjswZ7
219062712674680834|Sat Jun 30 133955 0000 2012|Use Caution When Exercising in Hot Weather  http//onmsncom/O2ep9v
218833120777089024|Fri Jun 29 222736 0000 2012|Young Athletes Face Unhealthy Food Choices Parents Say  http//onmsncom/OL6zUn
218809405951590400|Fri Jun 29 205322 0000 2012|Shorter Arms May Explain Why Women Need Glasses Sooner Than Men  http//onmsncom/NLTow6
218777979701035009|Fri Jun 29 184829 0000 2012|Asthma Rates Higher Near Busy Highway  http//onmsncom/MdmmcN
218777978891538432|Fri Jun 29 184829 0000 2012|Hot Flashes Dont Signal Poor Heart Health for Most Women Study  http//onmsncom/MdmlWz
218777978065268736|Fri Jun 29 184829 0000 2012|Asthma Rates Higher Near Busy New York Highway  http//onmsncom/MdmlWx
218777977301909504|Fri Jun 29 184829 0000 2012|Summertime Is Tonsillectomy Time  http//onmsncom/QBsri0
218777976555311105|Fri Jun 29 184828 0000 2012|Toddlers Are Happier to Give Than Receive Study  http//onmsncom/MdmlWv
218746386768871424|Fri Jun 29 164257 0000 2012|Gene Boosts Tomatos Color But May Make It Less Tasty  http//onmsncom/OJsXgW
218746385858699264|Fri Jun 29 164257 0000 2012|Study of Retired NFL Players Finds Evidence of Brain Damage  http//onmsncom/NcsxZ4
218746384965320705|Fri Jun 29 164256 0000 2012|Gay or Straight Parents Too Tired for Sex Study Suggests  http//onmsncom/NcsxYY
218746384243896321|Fri Jun 29 164256 0000 2012|Residents as Good as Fully Trained Docs if Properly Supervised Study  http//onmsncom/OJsVFP
218746383459553280|Fri Jun 29 164256 0000 2012|Minorities Less Likely to Use Hospice Care Study  http//onmsncom/NcsxYW
218698515612844032|Fri Jun 29 133243 0000 2012|Supreme Court Ruling Sets Stage for Full Rollout of HealthCare Reform Law  http//onmsncom/NWKnns
218461511616696320|Thu Jun 28 215057 0000 2012|Muscle Mass Linked to Bone Health in Some Parts of Body  http//onmsncom/OEYkJe
218445837758504962|Thu Jun 28 204840 0000 2012|Courts Verdict on HealthCare Reform Holds Surprises Legal Experts Say  http//onmsncom/MZgroe
218445836751863809|Thu Jun 28 204840 0000 2012|Small Babies Can Be Sign of Heart Problems in Mother  http//onmsncom/NSBSK9
218413888750882821|Thu Jun 28 184143 0000 2012|Is Courts HealthCare Ruling a Wise Decision? It Depends  http//onmsncom/OEa9j3
218413887920418816|Thu Jun 28 184143 0000 2012|40 Million Americans Addicted to Cigarettes Alcohol or Drugs  http//onmsncom/OEa8eZ
218413887027027968|Thu Jun 28 184143 0000 2012|Greater LA Heating Up Climate Experts Predict  http//onmsncom/OEa8eV
218398123008081921|Thu Jun 28 173904 0000 2012|Smallest Largest Fetuses at Higher Risk of Stillbirth  http//onmsncom/NGAgQb
