548663411437875200|Sat Dec 27 021525 0000 2014|Parents Start Companies to Cure Children http//onwsjcom/1vyYbra
548544344777834496|Fri Dec 26 182217 0000 2014|RT lizrhoffman J&amp;J Gilead among healthcare companies flush with cash Another blockbuster M&amp;A year ahead http//onwsjcom/144DH2Q via WS
548532620817358848|Fri Dec 26 173542 0000 2014|RT stefaniei How has the health laws first big year affected you Share your stories and read other readers Faces of the ACA http//t
548525790644953088|Fri Dec 26 170834 0000 2014|RT lizrhoffman Allergan dodges a bullet Apollos slick oil play &amp; King Carl does it again  twice 2014s M&amp;A winners http//tco/fcUqZU
548525551896776704|Fri Dec 26 170737 0000 2014|RT Loftus Faces of the Health Law Read more about Alfred Chavis The Striver who enrolled in an Obamacare plan http//graphicswsjcom/HealthProfiles/profile2
548490665701957632|Fri Dec 26 144859 0000 2014|RT stefaniei Faces of the ACA A preexisting condition kept Jaime Hood from getting insurance Now she and her son are covered http//t
548489530152849408|Fri Dec 26 144429 0000 2014|RT stefaniei Faces of the ACA This Young Invincible got motorcycles figured he does need insurance says he cant afford it  http//t
548488792102166528|Fri Dec 26 144133 0000 2014|RT LauraLandroWSJ Drug Prices generics and M&amp;A top the agenda for 2015 Pharmalot http//wwwwsjcom/articles/drugpricesgenericsandmatoptheagendafor20151419554508 via WSJ
548488506642006018|Fri Dec 26 144025 0000 2014|RT stefaniei Medicare Unmasked One reason fraud is so hard to combatinadequate vetting of providers entering the system http//tco/N
548488382348034048|Fri Dec 26 143955 0000 2014|RT MelindaBeckWSJ ACA has expanded coverage to millions but what that meansand what it has costvaries widely We tell 10 stories141
548336605488902144|Fri Dec 26 043649 0000 2014|Drug Prices M&amp;A Top the Agenda for 15 http//onwsjcom/1B8BTjM
548301851972497408|Fri Dec 26 021843 0000 2014|Why Its So Hard to Fix Medicare Fraud http//onwsjcom/1EmqSB5
548301851297210368|Fri Dec 26 021842 0000 2014|Doctor Sees Benefits and Side Effects of Affordable Care Act http//onwsjcom/1CT73g5
547950084642852864|Thu Dec 25 030055 0000 2014|RT StephArmour1 One being monitored other CDC workers determined not to be exposed to Ebola CDC says http//onwsjcom/1wlVh8m
547929163764469761|Thu Dec 25 013747 0000 2014|CDC Worker in Atlanta May Have Been Exposed to Ebola Virus http//onwsjcom/1zzxoBd
547610835133034496|Wed Dec 24 043251 0000 2014|FDA to Lift Ban on Blood Donations From Gay Men http//onwsjcom/1CG14uU
547610834361274369|Wed Dec 24 043251 0000 2014|Health Law SignUps Near 64 Million http//onwsjcom/1CG14uQ
